City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Springbok,ZA,-29.66,17.89,36.27,97,11,6.02,few clouds
1,Punta Arenas,CL,-53.15,-70.92,32.0,85,90,28.86,light snow
2,Zhigansk,RU,66.77,123.37,47.97,60,0,22.55,clear sky
3,Ahar,IR,38.48,47.07,60.03,70,89,5.93,overcast clouds
4,Pevek,RU,69.7,170.31,41.92,76,0,3.87,clear sky
5,Ballina,AU,-28.87,153.57,66.99,52,0,17.22,clear sky
6,Padang,ID,-0.95,100.35,79.29,76,99,5.14,light rain
7,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,haze
8,Keizer,US,44.99,-123.03,100.0,19,1,4.7,clear sky
9,Ferrol,ES,43.48,-8.24,64.99,87,21,4.7,few clouds
10,Bengkulu,ID,-3.8,102.27,78.58,80,12,2.53,few clouds
11,Black Forest,US,39.01,-104.7,82.0,27,1,11.41,clear sky
12,Vaini,TO,-21.2,-175.2,70.32,60,0,14.97,clear sky
13,Asau,RO,46.43,26.4,60.01,99,99,1.92,overcast clouds
14,Rikitea,PF,-23.12,-134.97,71.28,75,0,14.09,clear sky
15,Bambous Virieux,MU,-20.34,57.76,72.0,77,20,11.41,few clouds
16,Tuktoyaktuk,CA,69.45,-133.04,51.8,66,90,3.36,overcast clouds
17,Tasiilaq,GL,65.61,-37.64,42.8,81,100,23.04,light rain
18,Tobol,KZ,52.68,62.58,57.72,91,100,7.9,overcast clouds
19,Macamic,CA,48.75,-79.0,77.0,41,20,8.05,few clouds
20,Mataura,NZ,-46.19,168.86,48.99,71,5,4.0,clear sky
21,Huilong,CN,31.81,121.66,89.01,70,0,5.99,clear sky
22,Benguela,AO,-12.58,13.41,65.59,90,2,3.18,clear sky
23,Meulaboh,ID,4.14,96.13,78.62,85,92,4.97,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,33.8,69,75,6.93,broken clouds
25,Clyde River,CA,70.47,-68.59,37.4,100,75,5.82,mist
26,Onega,RU,63.91,38.14,58.64,95,99,10.18,overcast clouds
27,Puerto Ayora,EC,-0.74,-90.35,66.99,90,11,3.0,few clouds
28,Ulladulla,AU,-35.35,150.47,60.01,62,75,18.34,broken clouds
29,Butaritari,KI,3.07,172.79,81.97,73,62,12.06,broken clouds
30,Talnakh,RU,69.49,88.4,60.8,63,100,8.95,overcast clouds
31,Husavik,IS,66.04,-17.34,44.6,93,0,4.7,clear sky
32,Oranjestad,AW,12.52,-70.03,84.2,79,20,18.34,few clouds
33,Najran,SA,17.49,44.13,84.2,25,75,2.24,dust
34,Hilo,US,19.73,-155.09,84.2,66,90,10.29,overcast clouds
35,Seymchan,RU,62.88,152.43,59.92,52,39,15.79,scattered clouds
36,Taguatinga,BR,-12.39,-46.57,77.85,31,0,4.63,clear sky
37,Mahon,ES,39.89,4.27,77.0,83,0,6.93,clear sky
38,Kavaratti,IN,10.57,72.64,82.09,79,100,14.14,overcast clouds
39,Linguere,SN,15.4,-15.12,84.29,62,77,10.47,broken clouds
40,Cape Town,ZA,-33.93,18.42,46.99,93,40,5.82,light rain
41,Bluff,NZ,-46.6,168.33,48.99,71,36,4.0,scattered clouds
