City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Diego De Almagro,-26.37,-70.05,44.73,68,0,0.43,CL,2020-08-15 23:36:38
1,Havoysund,71.0,24.66,44.6,81,99,26.4,NO,2020-08-15 23:38:20
2,Wajir,1.75,40.06,72.27,63,100,13.89,KE,2020-08-15 23:38:20
3,Kemi,65.86,24.82,59.0,51,42,10.29,FI,2020-08-15 23:38:21
4,Kruisfontein,-34.0,24.73,48.0,73,19,4.0,ZA,2020-08-15 23:38:21
5,Faanui,-16.48,-151.75,78.3,80,82,14.7,PF,2020-08-15 23:38:21
6,Jamestown,42.1,-79.24,77.0,64,1,5.82,US,2020-08-15 23:35:12
7,Nome,64.5,-165.41,64.99,93,90,9.17,US,2020-08-15 23:38:21
8,New Norfolk,-42.78,147.06,53.01,93,100,3.62,AU,2020-08-15 23:38:21
9,Ola,59.58,151.28,59.47,64,83,3.36,RU,2020-08-15 23:38:21
10,Hilo,19.73,-155.09,82.4,65,90,12.75,US,2020-08-15 23:37:21
11,Kodiak,57.79,-152.41,75.2,33,1,12.75,US,2020-08-15 23:36:19
12,Ilulissat,69.22,-51.1,39.2,60,6,2.24,GL,2020-08-15 23:38:21
13,Severo-Kurilsk,50.68,156.12,54.54,79,92,5.88,RU,2020-08-15 23:37:31
14,Ushuaia,-54.8,-68.3,33.8,69,40,4.7,AR,2020-08-15 23:34:06
15,Macheng,31.18,115.03,87.01,74,87,4.25,CN,2020-08-15 23:38:21
16,Arraial Do Cabo,-22.97,-42.03,73.15,85,31,11.48,BR,2020-08-15 23:38:21
17,Punta Arenas,-53.15,-70.92,33.8,86,75,32.21,CL,2020-08-15 23:38:22
18,Baie-Comeau,49.22,-68.15,62.6,72,1,5.82,CA,2020-08-15 23:38:22
19,Ust-Maya,60.42,134.53,57.18,43,100,5.64,RU,2020-08-15 23:38:22
20,Cape Town,-33.93,18.42,48.0,93,75,4.7,ZA,2020-08-15 23:36:10
21,Cayenne,4.93,-52.33,75.2,100,75,1.12,GF,2020-08-15 23:38:22
22,Hithadhoo,-0.6,73.08,83.07,70,63,3.87,MV,2020-08-15 23:38:22
23,Vao,-22.67,167.48,69.46,77,1,19.35,NC,2020-08-15 23:38:22
24,De Aar,-30.65,24.01,38.19,77,33,9.82,ZA,2020-08-15 23:38:22
25,Port Alfred,-33.59,26.89,52.25,66,94,20.29,ZA,2020-08-15 23:38:22
26,Albany,42.6,-73.97,75.99,58,70,5.5,US,2020-08-15 23:35:44
27,Ilo,-17.64,-71.34,58.33,78,94,6.33,PE,2020-08-15 23:38:22
28,Busselton,-33.65,115.33,51.01,77,93,19.08,AU,2020-08-15 23:38:22
29,Butaritari,3.07,172.79,81.95,73,94,13.0,KI,2020-08-15 23:38:22
30,Provideniya,64.38,-173.3,57.52,57,5,9.01,RU,2020-08-15 23:38:22
31,Sinnai,39.3,9.2,80.6,88,20,11.41,IT,2020-08-15 23:38:22
32,Kapaa,22.08,-159.32,84.2,74,1,13.87,US,2020-08-15 23:38:23
33,Kahului,20.89,-156.47,91.4,43,40,21.92,US,2020-08-15 23:35:45
34,Maniitsoq,65.42,-52.9,46.63,67,0,10.58,GL,2020-08-15 23:38:23
35,Berbera,10.44,45.01,90.09,46,59,20.11,SO,2020-08-15 23:38:23
36,Hobart,-42.88,147.33,53.6,93,90,8.05,AU,2020-08-15 23:38:21
37,Lavrentiya,65.58,-171.0,59.16,49,3,4.9,RU,2020-08-15 23:38:23
38,Puerto Ayora,-0.74,-90.35,68.0,88,61,5.99,EC,2020-08-15 23:38:23
39,Riyadh,24.69,46.72,86.0,20,32,5.82,SA,2020-08-15 23:33:27
40,Rikitea,-23.12,-134.97,71.31,74,0,13.31,PF,2020-08-15 23:38:23
41,Naze,28.37,129.48,86.0,79,0,4.7,JP,2020-08-15 23:38:23
42,San Miguel,13.48,-88.18,77.0,91,60,4.03,SV,2020-08-15 23:38:23
43,Araouane,18.9,-3.53,101.32,22,48,12.8,ML,2020-08-15 23:38:23
44,Avarua,-21.21,-159.78,76.28,88,0,11.03,CK,2020-08-15 23:33:35
45,Stepnyak,52.83,70.78,57.38,67,75,7.81,KZ,2020-08-15 23:38:23
46,Pisco,-13.7,-76.22,64.4,72,35,14.99,PE,2020-08-15 23:38:24
47,Vitim,59.45,112.56,53.1,58,16,10.45,RU,2020-08-15 23:38:24
48,Koumac,-20.57,164.28,73.08,77,91,1.41,NC,2020-08-15 23:38:24
49,Qasigiannguit,68.82,-51.19,39.2,60,10,2.24,GL,2020-08-15 23:38:24
50,Mataura,-46.19,168.86,52.0,72,0,1.99,NZ,2020-08-15 23:38:24
51,Talnakh,69.49,88.4,60.8,63,100,11.18,RU,2020-08-15 23:38:24
52,Korsakovo,53.27,37.36,54.57,88,91,5.21,RU,2020-08-15 23:38:24
53,Mar Del Plata,-38.0,-57.56,46.0,48,5,11.41,AR,2020-08-15 23:38:24
54,Constitucion,-35.33,-72.42,46.71,64,0,9.57,CL,2020-08-15 23:38:24
55,Raga,8.46,25.68,70.12,96,100,4.09,SS,2020-08-15 23:38:24
56,Lompoc,34.64,-120.46,98.01,47,1,10.29,US,2020-08-15 23:38:24
57,Gat,31.61,34.76,77.0,41,0,3.51,IL,2020-08-15 23:38:24
58,Ponta Do Sol,32.67,-17.1,71.6,64,20,10.29,PT,2020-08-15 23:38:25
59,Ambilobe,-13.2,49.05,66.54,76,46,5.08,MG,2020-08-15 23:38:25
60,Port Maria,18.37,-76.89,84.99,85,66,3.06,JM,2020-08-15 23:38:25
61,Broome,42.25,-75.83,75.0,60,1,4.7,US,2020-08-15 23:38:25
62,Dingle,11.0,122.67,80.74,82,100,3.11,PH,2020-08-15 23:38:25
63,Port Augusta,-32.5,137.77,46.0,95,1,2.01,AU,2020-08-15 23:38:25
64,Hermanus,-34.42,19.23,46.0,89,62,1.01,ZA,2020-08-15 23:38:25
65,Talara,-4.58,-81.27,62.28,88,64,13.71,PE,2020-08-15 23:38:25
66,Ribeira Grande,38.52,-28.7,73.58,86,29,15.9,PT,2020-08-15 23:38:25
67,Lebu,-37.62,-73.65,44.64,73,0,10.69,CL,2020-08-15 23:38:25
68,Sao Joao Da Barra,-21.64,-41.05,74.61,85,12,21.12,BR,2020-08-15 23:38:25
69,Chokurdakh,70.63,147.92,39.29,84,100,7.52,RU,2020-08-15 23:38:25
70,Rocha,-34.48,-54.33,44.73,63,0,9.37,UY,2020-08-15 23:33:26
71,Acari,-15.43,-74.62,60.62,66,88,5.3,PE,2020-08-15 23:38:26
72,Puerto Leguizamo,-0.19,-74.78,75.15,95,95,2.44,CO,2020-08-15 23:38:26
73,Vaini,-21.2,-175.2,73.4,64,40,11.41,TO,2020-08-15 23:37:30
74,Pangnirtung,66.15,-65.71,50.47,53,97,2.48,CA,2020-08-15 23:38:26
75,Atuona,-9.8,-139.03,78.24,73,15,14.07,PF,2020-08-15 23:38:26
76,Cabo San Lucas,22.89,-109.91,96.8,52,5,19.46,MX,2020-08-15 23:36:09
77,Hirara,24.8,125.28,84.2,83,40,3.36,JP,2020-08-15 23:38:26
78,Quatre Cocos,-20.21,57.76,71.01,77,40,18.34,MU,2020-08-15 23:38:26
79,Margate,51.38,1.39,70.0,94,74,1.01,GB,2020-08-15 23:38:26
